Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.131	1	0	4	-103.994
0.131	1	0	5	-113.996
0.131	1	0	6	-89.2917
0.131	1	0	1	-127.798
0.131	1	0	2	-127.655
0.131	1	0	3	-130.516
0.131	1	0	8	-112.206
0.131	1	0	9	-104.565
0.131	1	0	7	-105.172
0.135	1	0	4	-103.983
0.135	1	0	5	-113.964
0.135	1	0	6	-89.1409
0.135	1	0	1	-127.51
0.135	1	0	2	-127.434
0.135	1	0	3	-129.93
0.135	1	0	8	-112.334
0.135	1	0	9	-104.423
0.135	1	0	7	-105.172
0.14	1	0	4	-103.765
0.14	1	0	5	-114.181
0.14	1	0	6	-89.3518
0.14	1	0	1	-126.93
0.14	1	0	2	-127.231
0.14	1	0	3	-130.041
0.14	1	0	8	-112.424
0.14	1	0	9	-104.544
0.14	1	0	7	-105.172
0.145	1	0	4	-103.715
0.145	1	0	5	-113.865
0.145	1	0	6	-89.7529
0.145	1	0	1	-126.8
0.145	1	0	2	-127.471
0.145	1	0	3	-130.382
0.145	1	0	8	-112.212
0.145	1	0	9	-104.527
0.145	1	0	7	-105.172
0.146	1	0	4	-103.63
0.146	1	0	5	-113.854
0.146	1	0	6	-89.9562
0.146	1	0	1	-126.594
0.146	1	0	2	-127.564
0.146	1	0	3	-130.434
0.146	1	0	8	-112.385
0.146	1	0	9	-104.495
0.146	1	0	7	-105.172
0.15	1	0	4	-103.508
0.15	1	0	5	-113.74
0.15	1	0	6	-89.6567
0.15	1	0	1	-126.56
0.15	1	0	2	-127.751
0.15	1	0	3	-130.356
0.15	1	0	8	-112.578
0.15	1	0	9	-104.577
0.15	1	0	7	-105.172
0.155	1	0	4	-103.906
0.155	1	0	5	-114.049
0.155	1	0	6	-89.4188
0.155	1	0	1	-126.678
0.155	1	0	2	-127.82
0.155	1	0	3	-130.187
0.155	1	0	8	-112.059
0.155	1	0	9	-104.882
0.155	1	0	7	-105.172
0.1585	1	0	4	-103.762
0.1585	1	0	5	-113.779
0.1585	1	0	6	-89.4866
0.1585	1	0	1	-126.904
0.1585	1	0	2	-128.033
0.1585	1	0	3	-130.245
0.1585	1	0	8	-111.771
0.1585	1	0	9	-105.134
0.1585	1	0	7	-105.172
0.16	1	0	4	-104.036
0.16	1	0	5	-113.818
0.16	1	0	6	-89.5552
0.16	1	0	1	-126.87
0.16	1	0	2	-128.105
0.16	1	0	3	-130.298
0.16	1	0	8	-111.798
0.16	1	0	9	-105.142
0.16	1	0	7	-105.172
0.161	1	0	4	-103.986
0.161	1	0	5	-113.642
0.161	1	0	6	-89.5973
0.161	1	0	1	-127.118
0.161	1	0	2	-128.023
0.161	1	0	3	-130.15
0.161	1	0	8	-111.948
0.161	1	0	9	-105.218
0.161	1	0	7	-105.172
0.16325	1	0	4	-104.184
0.16325	1	0	5	-113.676
0.16325	1	0	6	-89.4968
0.16325	1	0	1	-127.242
0.16325	1	0	2	-127.948
0.16325	1	0	3	-130.385
0.16325	1	0	8	-111.76
0.16325	1	0	9	-105.53
0.16325	1	0	7	-105.172
0.1635	1	0	4	-104.112
0.1635	1	0	5	-113.653
0.1635	1	0	6	-89.47
0.1635	1	0	1	-127.26
0.1635	1	0	2	-127.854
0.1635	1	0	3	-130.4
0.1635	1	0	8	-111.801
0.1635	1	0	9	-105.537
0.1635	1	0	7	-105.172
0.165	1	0	4	-104.375
0.165	1	0	5	-113.708
0.165	1	0	6	-89.2954
0.165	1	0	1	-127.201
0.165	1	0	2	-127.728
0.165	1	0	3	-130.452
0.165	1	0	8	-111.76
0.165	1	0	9	-105.51
0.165	1	0	7	-105.172
0.166	1	0	4	-104.343
0.166	1	0	5	-113.709
0.166	1	0	6	-89.4281
0.166	1	0	1	-127.158
0.166	1	0	2	-127.742
0.166	1	0	3	-130.437
0.166	1	0	8	-111.771
0.166	1	0	9	-105.714
0.166	1	0	7	-105.172
0.1685	1	0	4	-104.614
0.1685	1	0	5	-113.929
0.1685	1	0	6	-89.2953
0.1685	1	0	1	-127.608
0.1685	1	0	2	-127.399
0.1685	1	0	3	-130.603
0.1685	1	0	8	-111.369
0.1685	1	0	9	-105.534
0.1685	1	0	7	-105.172
0.17	1	0	4	-104.804
0.17	1	0	5	-113.9
0.17	1	0	6	-89.3889
0.17	1	0	1	-127.378
0.17	1	0	2	-127.505
0.17	1	0	3	-130.291
0.17	1	0	8	-111.502
0.17	1	0	9	-105.393
0.17	1	0	7	-105.172
0.171	1	0	4	-104.692
0.171	1	0	5	-113.833
0.171	1	0	6	-89.2307
0.171	1	0	1	-127.258
0.171	1	0	2	-127.418
0.171	1	0	3	-130.238
0.171	1	0	8	-111.415
0.171	1	0	9	-105.391
0.171	1	0	7	-105.172
0.175	1	0	4	-104.818
0.175	1	0	5	-113.767
0.175	1	0	6	-89.1105
0.175	1	0	1	-127.172
0.175	1	0	2	-127.348
0.175	1	0	3	-130.369
0.175	1	0	8	-111.13
0.175	1	0	9	-105.195
0.175	1	0	7	-105.172
0.18	1	0	4	-104.611
0.18	1	0	5	-113.749
0.18	1	0	6	-88.4866
0.18	1	0	1	-127.318
0.18	1	0	2	-127.313
0.18	1	0	3	-130.128
0.18	1	0	8	-111.104
0.18	1	0	9	-105.43
0.18	1	0	7	-105.172
0.185	1	0	4	-104.645
0.185	1	0	5	-113.622
0.185	1	0	6	-88.038
0.185	1	0	1	-127.675
0.185	1	0	2	-127.872
0.185	1	0	3	-130.515
0.185	1	0	8	-111.392
0.185	1	0	9	-105.002
0.185	1	0	7	-105.172
0.186	1	0	4	-104.814
0.186	1	0	5	-113.431
0.186	1	0	6	-88.1861
0.186	1	0	1	-127.635
0.186	1	0	2	-127.772
0.186	1	0	3	-130.526
0.186	1	0	8	-111.541
0.186	1	0	9	-105.096
0.186	1	0	7	-105.172
0.19	1	0	4	-104.881
0.19	1	0	5	-113.803
0.19	1	0	6	-88.5065
0.19	1	0	1	-127.647
0.19	1	0	2	-127.735
0.19	1	0	3	-130.434
0.19	1	0	8	-111.327
0.19	1	0	9	-105.01
0.19	1	0	7	-105.172
0.195	1	0	4	-104.656
0.195	1	0	5	-113.596
0.195	1	0	6	-88.6901
0.195	1	0	1	-127.613
0.195	1	0	2	-127.728
0.195	1	0	3	-130.461
0.195	1	0	8	-111.651
0.195	1	0	9	-105.032
0.195	1	0	7	-105.172
0.1985	1	0	4	-104.684
0.1985	1	0	5	-113.754
0.1985	1	0	6	-88.8041
0.1985	1	0	1	-127.466
0.1985	1	0	2	-127.865
0.1985	1	0	3	-130.315
0.1985	1	0	8	-111.433
0.1985	1	0	9	-104.977
0.1985	1	0	7	-105.172
0.2	1	0	4	-105.018
0.2	1	0	5	-113.858
0.2	1	0	6	-88.8102
0.2	1	0	1	-127.417
0.2	1	0	2	-127.814
0.2	1	0	3	-130.33
0.2	1	0	8	-111.425
0.2	1	0	9	-105.019
0.2	1	0	7	-105.172
0.201	1	0	4	-105.006
0.201	1	0	5	-113.731
0.201	1	0	6	-88.6841
0.201	1	0	1	-127.405
0.201	1	0	2	-127.685
0.201	1	0	3	-130.409
0.201	1	0	8	-111.397
0.201	1	0	9	-105.02
0.201	1	0	7	-105.172
0.20325	1	0	4	-105.077
0.20325	1	0	5	-114.183
