Time	CellId	RNTI	BWPId	SINR(dB)
0.532804	2	5	0	43.2585
0.533036	2	7	0	22.9372
0.53525	2	9	0	13.3069
0.535286	2	6	0	44.892
0.535304	2	5	0	44.0982
0.535321	2	4	0	88.2723
0.53775	2	9	0	13.2955
0.537786	2	6	0	44.9812
0.537804	2	4	0	88.1698
0.537821	2	2	0	37.3047
0.538304	2	8	0	21.9106
0.538321	2	1	0	43.7243
0.54025	2	9	0	12.5552
0.54025	2	1	0	37.4521
0.540286	2	4	0	87.9758
0.540304	2	3	0	37.8266
0.540536	2	9	0	7.70744
0.541036	2	7	0	24.1525
0.541054	2	5	0	45.3818
0.54275	2	9	0	13.3001
0.543036	2	6	0	44.7635
